path_image,category,name,extension,width,height,dim,size
PBC_dataset_normal_DIB/basophil/BA_689200.jpg,basophil,BA_689200,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_883452.jpg,basophil,BA_883452,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_382161.jpg,basophil,BA_382161,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_175579.jpg,basophil,BA_175579,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_775722.jpg,basophil,BA_775722,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_209608.jpg,basophil,BA_209608,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_977935.jpg,basophil,BA_977935,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_95396.jpg,basophil,BA_95396,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_693714.jpg,basophil,BA_693714,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_878384.jpg,basophil,BA_878384,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_691117.jpg,basophil,BA_691117,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_240977.jpg,basophil,BA_240977,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_762060.jpg,basophil,BA_762060,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_347981.jpg,basophil,BA_347981,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_418760.jpg,basophil,BA_418760,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_727528.jpg,basophil,BA_727528,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_879878.jpg,basophil,BA_879878,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_238012.jpg,basophil,BA_238012,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_752996.jpg,basophil,BA_752996,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_482919.jpg,basophil,BA_482919,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_23839.jpg,basophil,BA_23839,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_535962.jpg,basophil,BA_535962,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_961010.jpg,basophil,BA_961010,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_77298.jpg,basophil,BA_77298,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_499861.jpg,basophil,BA_499861,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_620858.jpg,basophil,BA_620858,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_633824.jpg,basophil,BA_633824,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_391096.jpg,basophil,BA_391096,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_579017.jpg,basophil,BA_579017,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_152930.jpg,basophil,BA_152930,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_254321.jpg,basophil,BA_254321,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_56068.jpg,basophil,BA_56068,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_931425.jpg,basophil,BA_931425,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_99625.jpg,basophil,BA_99625,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_278185.jpg,basophil,BA_278185,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_594363.jpg,basophil,BA_594363,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_464090.jpg,basophil,BA_464090,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_661622.jpg,basophil,BA_661622,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_412674.jpg,basophil,BA_412674,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_250620.jpg,basophil,BA_250620,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_991876.jpg,basophil,BA_991876,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_472802.jpg,basophil,BA_472802,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_842435.jpg,basophil,BA_842435,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_754114.jpg,basophil,BA_754114,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_4744.jpg,basophil,BA_4744,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_754100.jpg,basophil,BA_754100,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_746935.jpg,basophil,BA_746935,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_723161.jpg,basophil,BA_723161,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_2862.jpg,basophil,BA_2862,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_510275.jpg,basophil,BA_510275,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_809385.jpg,basophil,BA_809385,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_545506.jpg,basophil,BA_545506,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_563270.jpg,basophil,BA_563270,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_893495.jpg,basophil,BA_893495,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_215988.jpg,basophil,BA_215988,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_659008.jpg,basophil,BA_659008,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_434512.jpg,basophil,BA_434512,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_313484.jpg,basophil,BA_313484,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_275073.jpg,basophil,BA_275073,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_41844.jpg,basophil,BA_41844,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_377664.jpg,basophil,BA_377664,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_509334.jpg,basophil,BA_509334,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_121897.jpg,basophil,BA_121897,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_463847.jpg,basophil,BA_463847,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_49997.jpg,basophil,BA_49997,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_833409.jpg,basophil,BA_833409,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_196807.jpg,basophil,BA_196807,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_30267.jpg,basophil,BA_30267,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_988506.jpg,basophil,BA_988506,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_124938.jpg,basophil,BA_124938,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_994113.jpg,basophil,BA_994113,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_372252.jpg,basophil,BA_372252,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_83911.jpg,basophil,BA_83911,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_845210.jpg,basophil,BA_845210,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_629062.jpg,basophil,BA_629062,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_775053.jpg,basophil,BA_775053,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_353263.jpg,basophil,BA_353263,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_345373.jpg,basophil,BA_345373,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_577373.jpg,basophil,BA_577373,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_219183.jpg,basophil,BA_219183,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_270647.jpg,basophil,BA_270647,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_356694.jpg,basophil,BA_356694,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_48862.jpg,basophil,BA_48862,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_426699.jpg,basophil,BA_426699,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_163898.jpg,basophil,BA_163898,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_318538.jpg,basophil,BA_318538,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_830328.jpg,basophil,BA_830328,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_49215.jpg,basophil,BA_49215,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_691060.jpg,basophil,BA_691060,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_312613.jpg,basophil,BA_312613,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_529390.jpg,basophil,BA_529390,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_214538.jpg,basophil,BA_214538,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_279501.jpg,basophil,BA_279501,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_912566.jpg,basophil,BA_912566,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_128084.jpg,basophil,BA_128084,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_904489.jpg,basophil,BA_904489,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_383453.jpg,basophil,BA_383453,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_464087.jpg,basophil,BA_464087,jpg,369,366,3,369 x 366
PBC_dataset_normal_DIB/basophil/BA_731764.jpg,basophil,BA_731764,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_174705.jpg,basophil,BA_174705,jpg,363,360,3,363 x 360
PBC_dataset_normal_DIB/basophil/BA_177230.jpg,basophil,BA_177230,jpg,363,360,3,363 x 360
